show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s1734,Movie,Dhan Dhana Dhan Goal,Vivek Agnihotri,"John Abraham, Bipasha Basu, Arshad Warsi, Shernaz Patel, Boman Irani, Dibyendu Bhattacharya, Gilbert Montoya, Dalip Tahil, Rajendranath Zutshi","United Kingdom, India",2018-11-01,2007,TV-14,157 min,"Dramas, Music & Musicals, Sports Movies","In a last-ditch effort, the jaded coach of the Southall United Football Club assembles a ragtag team and helps lead the team to a comeback season."
s3430,Movie,Kocan Kadar Konus,Kıvanç Baruönü,"Ezgi Mola, Murat Yıldırım, Gülenay Kalkan, Ebru Cündübeyoğlu, Eda Ece, Begüm Öner, Gül Arıcı, Muhammet Uzuner",Turkey,2017-03-10,2015,TV-14,104 min,"Comedies, International Movies, Romantic Movies",A 30-year-old who's never taken the traditional path to love is tutored by her friends and family before reconnecting with her high school crush.
s2315,Movie,Fun Mom Dinner,Alethea Jones,"Katie Aselton, Toni Collette, Bridget Everett, Molly Shannon, Adam Scott, Rob Huebel, Adam Levine, Paul Rust",United States,2017-12-31,2017,R,82 min,"Comedies, International Movies","Four preschool moms with little in common need a night out to take a break from their kids. But one thing leads to another, and things get rowdy."
s51,Movie,"10,000 B.C.",Roland Emmerich,"Steven Strait, Camilla Belle, Cliff Curtis, Joel Virgel, Affif Ben Badra, Mo Zinal, Nathanael Baring, Mona Hammond, Omar Sharif","United States, South Africa",2019-06-01,2008,PG-13,109 min,Action & Adventure,Fierce mammoth hunter D'Leh sets out on an impossible journey to rescue the woman he loves from a vicious warlord and save the people of his village.
s1146,Movie,Burning,Lee Chang-dong,"Yoo Ah-in, Steven Yeun, Jun Jong-seo, Kim Soo-kyung, Moon Sung-keun, ChoI Seung-ho","South Korea, Japan",2019-04-29,2018,TV-MA,148 min,"Dramas, Independent Movies, International Movies",An aspiring writer goes to the airport to pick up a high school friend returning from a trip to Africa but is disheartened to see her with another man.
s5071,Movie,Rain Man,Barry Levinson,"Dustin Hoffman, Tom Cruise, Valeria Golino, Gerald R. Molen, Jack Murdock, Michael D. Roberts, Ralph Seymour, Lucinda Jenney, Bonnie Hunt",United States,2019-07-01,1988,R,134 min,"Classic Movies, Dramas","A fast-talking yuppie is forced to slow down when he meets the brother he never knew he had, an unusually gifted autistic savant named Raymond."
s999,Movie,Blue Jay,Alex Lehmann,"Sarah Paulson, Mark Duplass, Clu Gulager",United States,2016-12-06,2016,TV-MA,81 min,"Dramas, Independent Movies, Romantic Movies","Two former high school sweethearts unexpectedly reunite in their old hometown, where they rediscover their magical bond and face a shared regret."
s3374,Movie,Kids on the Block,Tugçe Soysop,"Selim Bayraktar, Berat Efe Parlar, Esat Polat Güler, Eda Döğer, Dora Dalgıç, Taha Sönmezisik, Zeynep Ilgin Çelik, Arda Taşarcan, Alperen Efe Esmer, İlknur Külahlıoglu, İkra Külahlıoğlu",Turkey,2019-10-04,2019,TV-PG,102 min,"Children & Family Movies, Comedies","When their fun in the park is threatened by a neighborhood nagger, a group of friends declares war to play freely on their turf."
s802,Movie,Becoming Jane,Julian Jarrold,"Anne Hathaway, James McAvoy, Julie Walters, James Cromwell, Maggie Smith, Laurence Fox, Ian Richardson","United Kingdom, Ireland",2019-01-12,2007,PG-13,121 min,"Dramas, Romantic Movies",A passionate romance with roguish barrister Tom Lefroy serves as the inspiration for the works of budding novelist Jane Austen.
s790,Movie,Beats,Chris Robinson,"Khalil Everage, Anthony Anderson, Uzo Aduba, Emayatzy Corinealdi, Paul Walter Hauser, Dave East, Seandrea Sledge, Ashley Jackson, Megan Sousa",United States,2019-06-19,2019,TV-MA,110 min,"Dramas, Independent Movies, Music & Musicals","On Chicago's South Side, hip-hop prodigy August Monroe navigates crippling anxiety and new creative frontiers with the help of an unlikely mentor."
s5903,Movie,Super Monsters: The New Class,Steve Ball,"Elyse Maloway, Vincent Tong, Erin Mathews, Andrea Libman, Alessandro Juliani, Nicole Anthony, Diana Kaarina, Gigi Saul Guerrero, Asia Mattu, Rukiya Bernard, Elicia MacKenzie, Ian James Corlett, Britt McKillip",Canada,2020-08-01,2020,TV-Y,25 min,Children & Family Movies,"A new class of pint-sized preschoolers arrives at Pitchfork Pines, and the Super Monsters take their superpowers to the next level — the Purple Room!"
s4500,Movie,Nobody Knows I'm Here,Gaspar Antillo,"Jorge García, Millaray Lobos, Luis Gnecco, Alejandro Goic, Gastón Pauls, Eduardo Paxeco",Chile,2020-06-24,2020,TV-MA,92 min,"Dramas, Independent Movies, International Movies","A former child singer, traumatized by his experiences, becomes a recluse, nurturing his hurt until a woman comes into his life and really hears him."
s4360,Movie,My Stupid Boss 2,Upi Avianto,"Reza Rahadian, Bunga Citra Lestari, Chew Kin Wah, Atikah Suhaime, Iedil Putra, Iskandar Zulkarnain, Alex Abbad, Melissa Karim",Indonesia,2020-04-23,2019,TV-14,95 min,"Comedies, International Movies","Having driven away many of his employees, Bossman and three of his long-suffering workers try to find cheap labor in Vietnam but find trouble instead."
s5910,Movie,Superlopez,Javier Ruiz Caldera,"Dani Rovira, Alexandra Jiménez, Julián López, Maribel Verdú, Pedro Casablanc, Gracia Olayo, Ferran Rañé, Gonzalo de Castro, Mireia Portas",Spain,2019-03-24,2018,TV-MA,108 min,"Action & Adventure, Comedies, International Movies","In this adaptation of the comic strip, Juan López must balance an office job with heroic feats to save the love of his life and native planet Chitón."
s3263,Movie,K-19: The Widowmaker,Kathryn Bigelow,"Harrison Ford, Liam Neeson, Peter Sarsgaard, Sam Spruell, Joss Ackland, Peter Stebbings, Christian Camargo, Sam Redford, John Shrapnel, Donald Sumpter","United Kingdom, Germany, Canada, United States",2019-11-21,2002,PG-13,138 min,"Action & Adventure, Dramas","On board Russia's first nuclear ballistic submarine, Capt. Vostrikov must race against time to prevent a Chernobyl-like explosion."
s1905,Movie,Earth to Echo,Dave Green,"Teo Halm, Astro, Reese Hartwig, Ella Wahlestedt, Jason Gray-Stanford, Algee Smith, Cassius Willis, Sonya Leslie, Kerry O'Malley, Virginia Louise Smith, Peter Mackenzie, Valerie Wildman",United States,2019-10-01,2014,PG,91 min,"Children & Family Movies, Sci-Fi & Fantasy","When a construction project begins in their neighborhood, four friends start receiving bizarre encoded text messages on their cell phones."
s213,Movie,A Patch of Fog,Michael Lennox,"Stephen Graham, Conleth Hill, Lara Pulver, Arsher Ali, Stuart Graham, Ian McElhinney",United Kingdom,2017-04-15,2015,TV-MA,92 min,"Dramas, Thrillers","When a guard catches a writer-television host shoplifting, instead of turning him in, he only asks to be a friend, then begins to rule his life."
s6142,Movie,The Blazing Sun,Youssef Chahine,"Omar Sharif, Faten Hamama, Zaki Rostom, Farid Shawqy, Abdel-Wareth Asar, Menassa Fahmy, Abdelghany Kamar, Hamdy Gheith, Mohsen Hassanein, Rafeaa El Shal",Egypt,2020-06-18,1954,TV-14,116 min,"Classic Movies, Dramas, International Movies",Competition between sugar cane producers turns deadly after a greedy landlord conspires against an agricultural engineer who falls for his daughter.
s2455,Movie,God's Not Dead,Harold Cronk,"Kevin Sorbo, Shane Harper, David A.R. White, Dean Cain, Benjamin A. Onyango, Paul Kwo, Hadeel Sittu, Trisha LaFache, Cory Oliver, Willie Robertson, Korie Robertson",United States,2020-04-01,2014,PG,113 min,"Dramas, Faith & Spirituality",A spiritual college student clashes with an atheistic professor who insists that students will only pass his class by admitting that God is dead.
s6020,Movie,Temple,Michael Barrett,"Logan Huffman, Natalia Warner, Brandon Sklenar, Naoto Takenaka, Asahi Uchida, Mei Kurokawa, Hisashi Miyazawa, Miho Tamaki, Seiki Chiba, Yoshimi Tachi","Japan, United States",2017-12-02,2017,TV-MA,78 min,"Horror Movies, Independent Movies",Three unsuspecting American tourists visit a mysterious mountain shrine in Japan despite uncanny warnings from local inhabitants to stay away.
s521,Movie,Angela's Christmas Wish,Damien O’Connor,"Lucy O'Connell, Brendan Mullins, Ruth Negga, Lola Metcalfe, Jared Harris, Moe Dunford, Oscar Butler, Shona Hamill, Pat Kinevane, Janet Moran, Anya O'Connor",United States,2020-12-01,2020,TV-Y,48 min,Children & Family Movies,"With her father working far away in Australia, a determined Angela makes a plan — and a heartfelt wish — to reunite her family in time for the holidays."
s942,TV Show,Bitter Daisies,Miguel Conde,"María Mera, Toni Salgado, Miquel Insua, Denis Gómez, Lucía Álvarez, Sara Sanz, Jimmy Núñez, Paloma Saavedra, Manuel Cortés, Yelena Molina, Ricardo de Barreiro, Nerea Barros, Santiago Cuquejo, Martina Stetson, Carlos Villarino",Spain,2019-03-29,2018,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas","While investigating the disappearance of a teen girl in a tight-knit Galician town, a Civil Guard officer uncovers secrets linked to a loss of her own."
